Name,Height
Jaylina Kraker,59
Kaylin  Nieves,62
Alyssa Duran,65
Vielka De Jesus Segura,67
Nolverys Fernandez,65
Irina Kovalchuk,68
Lauren Malcolm,67
Quiana Baez,63
Danielle Singson,64
Laisha Ulerio,65
Andecia Liverpool,65
Kylana Laspina,62
Ruth Lopez,62
Chayana Jimenez,64
Kiara Gonzalez,60
Emily Cabrera,65
Franceska Cabral,64
Valeria Murillo,61
Nadaysia Nivar,67
Alexandra Taveras,65
Yeralkis Gomez,59
Iyanna  Charon,61
Camila  Lebron,67
Ariana  Serrano,60
Evelina  Nova,65
Savannah  Williams,67
Marisabel  Pujols,64
LaNique Williams,68
Pauline  Aburekhanlen,67
Ashly  Cabral,64
Jasmine  Acevedo,66
Destiny  Eure,65
Kenndy  Vasquez,59
Maynee De Los Santos,64
Emely Nunez,66
Kiana Castillo,70
Breanna Kimbrough,69
Zouera Sofiani,65
Nicole Santos,66
Aichata Kone,70
Nayely Rodriguez,66
Nahara Lopez,66
Despina Boudouris,65
Alexis Deodat,70
Leila Hadjeb,66
Anjeline Arnakis,71
Jorden Warthen,66
Christina Franco,69
Emma Davern,63
Melody Pabon,66
Danielle Naggar,64
Genesis Soto,68
Dee-Ana Mitchell,66
Rachael Medina,65
Ally Thees,66
Brooklyn Holthaus,68
Kiera Barr,67
Chloe Allen,69
Alyssa Frazier,70
Samantha Zittrauer,69
Radka Brichackova,73
Alyssa Dutton,70
Kylie Martin,72
Holland Martin,64
Julie Archer,70
Alexis Diaz-Infante,70
Karolina Garstka,69
Rachel Machovec,71
Brooke Singleton,64
Arianna  Lopez,71
Rebekah Machovec,72
Logan Garcia,74
Cameron Fenner,68
McKenzie  Eaves,74
Jordan Norwood,70
Molly Boyd,75
Jordan Berglin,70
Kennedy Muff,71
Victoria Bowrosen,69
Edie Lamoreaux,66
Mallory Barash,70
Brooke Wroten,69
Kari Mercer,66
Sadie McKay,69
Sophie Meredith,68
Kaitlyn  Rodriguez,70
Alisha Pitt,72
Lily Andrews,63
Caroline Foster,69
Sophia Hoffman,68
Abbey Schad,71
Emily Lammers,69
Cat Bodick,72
Izabella De Lima,61
Tucker Patterson,70
Anna Sommer,73
Riley Runk,63
Souadou Bangoura,68
Kelly Gaston,67
Regan Happ,67
Ella McBride,67
Gabriela Fialova,70
Grace Hugar,69
Madison Eckley,65
Emma Kelly,69
Evie Jane Rembold,70
Madison Goodwin,64
Alyssa Daley,75
Jada Dauberman,67
Hannah Lingold,70
Meghan Tennant,75
Samantha Arens-Ennis,65
Krystal Heffelfinger,71
Jaiden Yocca,69
